* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
3225.397888	68.951414
3272.312380	68.867452
3319.909260	68.761557
3368.198452	68.655663
3417.190027	68.527836
3466.894200	68.378899
3517.321337	68.228317
3568.481954	68.100484
3620.386720	67.950723
3673.046457	67.800953
3726.472148	67.670784
3780.674934	67.523381
3835.666117	67.378770
3891.457165	67.223858
3948.059713	67.086755
4005.485564	66.924326
4063.746693	66.794724
4122.855250	66.626785
4182.823560	66.458852
4243.664130	66.303371
4305.389646	66.153613
4368.012981	65.998892
4431.547192	65.830944
4496.005531	65.663008
4561.401437	65.532635
4627.748549	65.382885
4695.060701	65.246917
4763.351932	65.122832
4832.636481	64.977474
4902.928797	64.849644
4974.243539	64.743729
5046.595577	64.615907
5120.000000	64.510002
5194.472115	64.404115
5270.027452	64.320146
5346.681766	64.214224
5424.451043	64.113179
5503.351500	64.024369
5583.399591	63.940392
5664.612008	63.842913
5747.005687	63.772268
5830.597810	63.701714
5915.405808	63.633423
6001.447367	63.583717
6088.740429	63.544599
6177.303198	63.514323
6267.154142	63.491599
6358.311998	63.470333
6450.795775	63.450680
6544.624761	63.431397
6639.818520	63.413526
6736.396904	63.397323
6834.380053	63.380884
6933.788400	63.365611
7034.642675	63.350521
7136.963909	63.335212
7240.773439	63.318011
7346.092914	63.300327
7452.944296	63.279155
7561.349867	63.252656
7671.332234	63.223439
7782.914330	63.191689
7896.119426	63.156333
8010.971128	63.121073
8127.493386	63.085810
8245.710500	63.040600
8365.647121	62.987620
8487.328260	62.908788
8610.779292	62.824821
8736.025961	62.718891
8863.094385	62.591070
8992.011061	62.470336
9122.802874	62.335426
9255.497097	62.207601
9390.121402	62.057823
9526.703863	61.929984
9665.272962	61.762212
9805.857594	61.608564
9948.487077	61.436870
10093.191154	61.287116
10240.000000	61.134312
10388.944230	60.966366
10540.054903	60.798435
10693.363532	60.630501
10848.902086	60.462562
11006.703001	60.300828
11166.799182	60.129130
11329.224017	59.958730
11494.011375	59.807705
11661.195620	59.657936
11830.811616	59.486253
12002.894734	59.330841
12177.480858	59.162894
12354.606395	58.994954
12534.308283	58.827022
12716.623996	58.659086
12901.591551	58.499972
13089.249521	58.328275
13279.637040	58.156577
13472.793808	58.006846
13668.760107	57.857070
13867.576801	57.695308
14069.285350	57.527367
14273.927818	57.359423
14481.546879	57.191475
14692.185828	57.023541
14905.888592	56.855608
15122.699734	56.687670
15342.664467	56.527420
15565.828661	56.377674
15792.238852	56.205986
16021.942256	56.056203
16254.986772	55.891830
16491.420999	55.723893
16731.294241	55.555951
16974.656520	55.388005
17221.558584	55.220058
17472.051922	55.052128
17726.188769	54.884193
17984.022122	54.726564
18245.605748	54.576811
18510.994194	54.405124
18780.242805	54.255335
19053.407727	54.083656
19330.545924	53.920416
19611.715189	53.815789
19896.974155	53.815789
20186.382308	53.815789
